id_artefacto,nombre,tipo,ruta,version,descripcion,estado,notas
ART-001,ADR Instancia por cliente,ADR,docs/production/ADR_001_instancia_por_cliente.md,NO_EVIDENCIADO,Decisión aislamiento instancia por cliente,Aceptado,
ART-002,ADR Autenticación enterprise,ADR,docs/production/ADR_002_autenticacion_enterprise.md,NO_EVIDENCIADO,Defer OAuth2/IdP Fase 3,Propuesto,
ART-003,ADR Usuarios enterprise,ADR,docs/production/ADR_003_usuarios_enterprise.md,NO_EVIDENCIADO,Defer SSO LDAP,Propuesto,
ART-004,ADR tenant_id activation,ADR,docs/production/ADR_004_tenant_id_activation.md,NO_EVIDENCIADO,Activación tenant_id,Aceptado,
ART-005,ADR event_store partitioning,ADR,docs/production/ADR_005_event_store_partitioning.md,NO_EVIDENCIADO,No particionar aún,Propuesto POC,
ART-006,ADR saga transactions,ADR,docs/production/ADR_006_saga_transactions.md,NO_EVIDENCIADO,Sagas diferidas,Propuesto,
ART-007,ADR workflow orchestration,ADR,docs/production/ADR_007_workflow_orchestration.md,NO_EVIDENCIADO,Orquestación mínima in-process,Propuesto,
ART-008,ADR cloud log shipping,ADR,docs/production/ADR_008_cloud_log_shipping.md,NO_EVIDENCIADO,Stdout JSON sidecar,Aceptado,
ART-009,ADR OpenTelemetry tracing,ADR,docs/production/ADR_009_opentelemetry_distributed_tracing.md,NO_EVIDENCIADO,Tracing incremental,Aceptado,
ART-010,Plan de implementación,plan,docs/production/Plan_de_implementacion.md,1.1,Readiness pruebas producción y config dinámica,vigente,
ART-011,Reporte implementación planes,informe,docs/production/Reporte_Implementacion.md,NO_EVIDENCIADO,Registro implementación Plan_*.md,vigente,
ART-012,Auditoría producción,informe,docs/production/Auditoria_Produccion.md,v1.0,Snapshot auditoría 2026-05-21,vigente,
ART-013,Plan Middleware,plan,docs/production/Plan_Middleware.md,NO_EVIDENCIADO,Plan técnico middleware producción,vigente,
ART-014,Plan Seguridad,plan,docs/production/Plan_Seguridad.md,NO_EVIDENCIADO,Requisitos seguridad API,vigente,
ART-015,Plan APIs,plan,docs/production/Plan_APIs.md,NO_EVIDENCIADO,OpenAPI versionado idempotency,vigente,
ART-016,Plan Integraciones,plan,docs/production/Plan_Integraciones.md,NO_EVIDENCIADO,Webhooks adapters credenciales,vigente,
ART-017,Flujo Middleware servicio,diagrama_flujo,docs/Plan_Desarrollo_Servicio_v0.1/Flujo_Middleware.md,v0.1,Pipeline 5 etapas documentado,vigente,
ART-018,Arquitectura EDA,arquitectura,docs/Plan_Desarrollo_Servicio_v0.1/Arquitectura_EDA.md,v0.1,Arquitectura event-driven,vigente,
ART-019,DDD en arquitectura,arquitectura,docs/Plan_Desarrollo_Servicio_v0.1/DDD_en_la_arquitectura.md,v0.1,Bounded contexts documentales,vigente,
ART-020,Plan módulo Middleware,plan,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md,2.0,Capabilities C1-C5,vigente,
ART-021,Plan módulo Dashboard,plan,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Dashboard_General.md,2.0,Objetivos O1-O5,vigente,
ART-022,README planes módulos,documentacion,docs/Plan_Desarrollo_Modulos_v0.1/README.md,v0.1,Oferta Middleware+Dashboard,vigente,
ART-023,Módulo Control Middleware ficha,documentacion,docs/Modulos/Modulo_Control_Middleware.md,NO_EVIDENCIADO,Ficha histórica legacy,referencia,
ART-024,Módulo Dashboard ficha,documentacion,docs/Modulos/Modulo_Dashboard_General.md,NO_EVIDENCIADO,Ficha histórica legacy,referencia,
ART-025,Runbook onboarding cliente,runbook,docs/production/Runbook_Onboarding_Cliente.md,NO_EVIDENCIADO,Alta instancia cliente,vigente,
ART-026,Runbook simulación cliente,runbook,docs/production/Runbook_Simulacion_Cliente.md,NO_EVIDENCIADO,Procedimiento simulación,vigente,
ART-027,Runbook backup restore,runbook,docs/production/Runbook_Backup_Restore.md,NO_EVIDENCIADO,Backup y restore BD,vigente,
ART-028,Runbook deploy VM,runbook,docs/production/Runbook_Deploy_VM.md,NO_EVIDENCIADO,Despliegue VM,vigente,
ART-029,Runbook DR drill,runbook,docs/production/Runbook_DR_Drill.md,NO_EVIDENCIADO,Ejercicio recuperación,vigente,
ART-030,Runbook alertas,runbook,docs/monitoring/Runbook_Alertas.md,NO_EVIDENCIADO,Respuesta alertas,vigente,
ART-031,Runbook cliente simulado notas,runbook,docs/personal_notes/Runbook_cliente_simulado.md,NO_EVIDENCIADO,Procedimiento local complementario,vigente,
ART-032,OpenAPI spec,contrato_api,docs/api/openapi.yaml,NO_EVIDENCIADO,Especificación API,vigente,
ART-033,Breaking change policy,documentacion,docs/api/BREAKING_CHANGE_POLICY.md,NO_EVIDENCIADO,Política cambios API,vigente,
ART-034,ER diagram,diagrama,docs/architecture/er_diagram.md,NO_EVIDENCIADO,Diagrama entidad-relación,vigente,
ART-035,Middleware DB dictionary,documentacion,docs/architecture/middleware_database_dictionary.md,NO_EVIDENCIADO,Diccionario tablas middleware,vigente,
ART-036,Middleware DB architecture,documentacion,docs/architecture/middleware_database_architecture.md,v1.1,Roadmap esquema BD,vigente,
ART-037,Matriz endpoints seguridad,documentacion,docs/production/Matriz_Endpoints_Seguridad.md,NO_EVIDENCIADO,Endpoints y controles,vigente,
ART-038,Guía despliegue instancia,documentacion,docs/production/Guia_Despliegue_Instancia_Cliente.md,NO_EVIDENCIADO,Despliegue por cliente,vigente,
ART-039,Testing README,documentacion,docs/testing/README.md,NO_EVIDENCIADO,Índice catálogos prueba,vigente,
ART-040,Matrix validación middleware,documentacion,docs/testing/matrix_validacion_middleware.md,NO_EVIDENCIADO,Criterios validación,vigente,
ART-041,E2E simulación cliente,documentacion,docs/testing/e2e_simulacion_cliente.md,NO_EVIDENCIADO,Doc test E2E,vigente,
ART-042,Mockups v2 HTML,mockup,docs/Mokcups_v2.0/01.html,NO_EVIDENCIADO,Mockup UI v2,referencia,
ART-043,Mockups v1 HTML,mockup,docs/Mokcups_v1.0/Dashboard_General.html,NO_EVIDENCIADO,Mockup dashboard v1,referencia,
ART-044,DC Mockups obsoletos,documentacion,docs/DC_Mockups_obsoletos(NOusar)/DC_Control_Middleware.md,NO_EVIDENCIADO,Marcado NOusar,obsoleto,
ART-045,Grafana middleware dashboard,config_observabilidad,docs/observability/grafana/middleware_dashboard.json,NO_EVIDENCIADO,Dashboard Grafana,vigente,
ART-046,Prometheus config,config_observabilidad,docs/monitoring/prometheus/prometheus.yml,NO_EVIDENCIADO,Config Prometheus,vigente,
ART-047,Alert rules,config_observabilidad,docs/monitoring/prometheus/alert_rules.yml,NO_EVIDENCIADO,Reglas alertas,vigente,
ART-048,Postman collection,contrato_api,docs/api/postman_collection.json,NO_EVIDENCIADO,Colección API,vigente,
ART-049,Matriz plan desarrollo CSV,matriz,docs/Plan_Desarrollo_Servicio_v0.1/Matriz_Plan_Desarrollo.xlsx - Plan de Desarrollo.csv,NO_EVIDENCIADO,Fases 1-8 plan servicio,vigente,
ART-050,PHPUnit config,prueba,phpunit.xml,NO_EVIDENCIADO,Config suites Unit Integration Feature E2E,vigente,
ART-051,Composer manifest,configuracion,composer.json,NO_EVIDENCIADO,Dependencias PHP y scripts CI,vigente,
ART-052,Package manifest,configuracion,package.json,NO_EVIDENCIADO,Dependencias frontend y scripts,vigente,
ART-053,Platform config,configuracion,config/platform.php,NO_EVIDENCIADO,Identidad instancia ADR-001,vigente,
ART-054,Eventbus config,configuracion,config/eventbus.php,NO_EVIDENCIADO,Driver suscripciones producers,vigente,
ART-055,SaaS catalog config,configuracion,config/saas_catalog.php,NO_EVIDENCIADO,Planes y módulos comerciales,vigente,
ART-056,Modules config JSON,configuracion,config/modules/modules_config.json,NO_EVIDENCIADO,Catálogo declarativo UI,vigente,
ART-057,Dashboard config JSON,configuracion,config/dashboard_config.json,NO_EVIDENCIADO,KPIs y métricas UI,vigente,
ART-058,Release decision QA,informe,docs/personal_notes/Release_decision_QA.md,NO_EVIDENCIADO,GO/NO-GO release,vigente,
ART-059,Simulate client smoke script,script,scripts/ops/simulate-client-smoke.sh,NO_EVIDENCIADO,Smoke simulación ops,vigente,
ART-060,CI smoke test script,script,scripts/ci/smoke-test.sh,NO_EVIDENCIADO,Smoke CI,vigente,
